lang,,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv,
"132",0,1.2e-322,2244,1.2e-322,786,0.5,-1,0.5,-1,0.003579195,-1,0.944379499,-1,0.5,-1,1.36E-288,4229,9.81E-257,5289,2.62E-94,14471,0.5,-1,6.03E-212,6432,0.5,-1
"132",0,1.2e-322,2158,1.2e-322,767,0.5,-1,0.5,-1,0.004208974,-1,0.944489249,-1,0.5,-1,8.90E-288,5106,2.25E-257,5268,4.99E-94,14462,0.5,-1,6.65E-212,6420,0.5,-1
"132",0,1.2e-322,2157,1.2e-322,785,0.5,-1,0.5,-1,0.004268344,-1,0.947089301,-1,0.5,-1,8.88E-293,4746,7.11E-254,5205,2.08E-94,14383,0.5,-1,7.10E-212,6404,0.5,-1
"132",0,1.2e-322,2067,1.2e-322,761,0.5,-1,0.5,-1,0.003940021,-1,0.939438706,-1,0.5,-1,5.25E-292,4714,1.91E-259,4994,5.30E-94,14624,0.5,-1,6.63E-212,6397,0.5,-1
"132",0,1.2e-322,2302,1.2e-322,747,0.5,-1,0.5,-1,0.003469888,-1,0.94299378,-1,0.5,-1,4.75E-291,4309,3.36E-259,6062,3.96E-94,14398,0.5,-1,6.06E-212,6403,0.5,-1
"132",0,1.2e-322,2011,1.2e-322,789,0.5,-1,0.5,-1,0.003593548,-1,0.940435718,-1,0.5,-1,8.21E-288,4272,7.10E-257,5099,3.82E-94,14504,0.5,-1,5.77E-212,6354,0.5,-1
"132",0,1.2e-322,2334,1.2e-322,730,0.5,-1,0.5,-1,0.00354002,-1,0.941243231,-1,0.5,-1,1.28E-289,4872,8.18E-258,5331,4.42E-94,14580,0.5,-1,6.31E-212,6370,0.5,-1
"132",0,1.2e-322,2275,1.2e-322,766,0.5,-1,0.5,-1,0.003673522,-1,0.953442252,-1,0.5,-1,2.16E-290,4570,1.25E-256,5642,3.25E-94,14704,0.5,-1,5.48E-212,6429,0.5,-1
"132",0,1.2e-322,2214,1.2e-322,749,0.5,-1,0.5,-1,0.004217405,-1,0.944538804,-1,0.5,-1,7.13E-289,4770,5.46E-258,5217,1.38E-94,14437,0.5,-1,5.87E-212,6368,0.5,-1
"132",0,1.2e-322,2324,1.2e-322,758,0.5,-1,0.5,-1,0.003831177,-1,0.949556903,-1,0.5,-1,1.18E-286,4353,4.03E-257,5233,2.00E-94,14343,0.5,-1,6.51E-212,6386,0.5,-1
"132",0,1.2e-322,2267,1.2e-322,771,0.5,-1,0.5,-1,0.003586364,-1,0.94052436,-1,0.5,-1,3.24E-292,4230,1.76E-258,5674,2.24E-94,14432,0.5,-1,6.19E-212,6391,0.5,-1
"132",0,1.2e-322,2216,1.2e-322,799,0.5,-1,0.5,-1,0.004133853,-1,0.943137331,-1,0.5,-1,1.16E-288,4390,1.41E-257,5337,2.08E-94,14410,0.5,-1,7.43E-212,6358,0.5,-1
"132",0,1.2e-322,2319,1.2e-322,828,0.5,-1,0.5,-1,0.003932145,-1,0.933627151,-1,0.5,-1,4.95E-289,4593,4.64E-259,5023,1.93E-94,14470,0.5,-1,5.60E-212,6386,0.5,-1
"132",0,1.2e-322,2297,1.2e-322,795,0.5,-1,0.5,-1,0.003861964,-1,0.935275007,-1,0.5,-1,6.98E-291,4667,2.98E-258,4581,2.55E-94,14473,0.5,-1,5.97E-212,6387,0.5,-1
"132",0,1.2e-322,1970,1.2e-322,749,0.5,-1,0.5,-1,0.004064137,-1,0.931529015,-1,0.5,-1,3.44E-290,5287,4.94E-256,5786,2.68E-94,14312,0.5,-1,6.06E-212,6405,0.5,-1
"132",0,1.2e-322,2216,1.2e-322,797,0.5,-1,0.5,-1,0.003781669,-1,0.943318424,-1,0.5,-1,5.36E-291,4821,9.43E-255,5506,3.13E-94,14424,0.5,-1,7.32E-212,6415,0.5,-1
"132",0,1.2e-322,2241,1.2e-322,789,0.5,-1,0.5,-1,0.004255552,-1,0.927931304,-1,0.5,-1,6.56E-292,4359,1.99E-256,5718,7.44E-94,14488,0.5,-1,5.55E-212,6390,0.5,-1
"132",0,1.2e-322,2253,1.2e-322,753,0.5,-1,0.5,-1,0.003644237,-1,0.94502415,-1,0.5,-1,1.77E-288,4953,1.41E-256,5748,3.73E-94,14595,0.5,-1,6.51E-212,6417,0.5,-1
"132",0,1.2e-322,2148,1.2e-322,769,0.5,-1,0.5,-1,0.003812059,-1,0.945412064,-1,0.5,-1,7.72E-291,4723,1.62E-257,5034,4.56E-94,14482,0.5,-1,5.81E-212,6398,0.5,-1
"132",0,1.2e-322,2488,1.2e-322,783,0.5,-1,0.5,-1,0.003827345,-1,0.956331073,-1,0.5,-1,5.93E-291,4611,1.00E-258,4856,2.68E-94,14549,0.5,-1,5.90E-212,6378,0.5,-1
"132",0,1.2e-322,2257,1.2e-322,755,0.5,-1,0.5,-1,0.004380834,-1,0.934629677,-1,0.5,-1,2.26E-287,4818,1.18E-258,5121,2.43E-94,14600,0.5,-1,5.41E-212,6393,0.5,-1
"132",0,1.2e-322,2344,1.2e-322,805,0.5,-1,0.5,-1,0.004242798,-1,0.93964945,-1,0.5,-1,4.13E-291,4674,6.29E-256,5027,3.21E-94,14199,0.5,-1,5.81E-212,6411,0.5,-1
"132",0,1.2e-322,2292,1.2e-322,713,0.5,-1,0.5,-1,0.0036772,-1,0.941876829,-1,0.5,-1,4.30E-291,4624,3.16E-258,5190,1.97E-94,14353,0.5,-1,6.01E-212,6390,0.5,-1
"132",0,1.2e-322,2332,1.2e-322,723,0.5,-1,0.5,-1,0.004051957,-1,0.948432395,-1,0.5,-1,1.92E-289,4289,1.53E-257,5575,3.10E-94,14527,0.5,-1,4.97E-212,6400,0.5,-1
"132",0,1.2e-322,2333,1.2e-322,759,0.5,-1,0.5,-1,0.004398401,-1,0.945714721,-1,0.5,-1,1.23E-289,4438,1.56E-256,5116,2.80E-94,14598,0.5,-1,6.69E-212,6400,0.5,-1
"133",0,1.2e-322,2101,1.2e-322,745,0.5,-1,0.5,-1,0.003257926,-1,0.938808041,-1,0.5,-1,8.20E-291,4777,9.60E-259,5105,2.28E-94,14501,0.5,-1,8.24E-212,6408,0.5,-1
"133",0,1.2e-322,2167,1.2e-322,723,0.5,-1,0.5,-1,0.00453242,-1,0.955887436,-1,0.5,-1,7.43E-287,4879,2.81E-256,5655,1.89E-94,14642,0.5,-1,6.06E-212,6404,0.5,-1
"133",0,1.2e-322,2420,1.2e-322,782,0.5,-1,0.5,-1,0.003861964,-1,0.928828646,-1,0.5,-1,2.87E-289,4884,3.57E-257,5108,1.37E-94,14599,0.5,-1,5.69E-212,6404,0.5,-1
"133",0,1.2e-322,2246,1.2e-322,767,0.5,-1,0.5,-1,0.004068206,-1,0.940258057,-1,0.5,-1,7.12E-290,4278,1.95E-256,5047,2.20E-94,14456,0.5,-1,6.09E-212,6380,0.5,-1
"133",0,1.2e-322,2175,1.2e-322,767,0.5,-1,0.5,-1,0.003655191,-1,0.94780884,-1,0.5,-1,1.77E-292,4763,4.12E-255,4823,4.34E-94,14630,0.5,-1,5.89E-212,6407,0.5,-1
"133",0,1.2e-322,2459,1.2e-322,751,0.5,-1,0.5,-1,0.003547111,-1,0.927912596,-1,0.5,-1,3.05E-290,4664,2.64E-258,5451,3.33E-94,14382,0.5,-1,6.62E-212,6422,0.5,-1
"133",0,1.2e-322,1963,1.2e-322,785,0.5,-1,0.5,-1,0.004035774,-1,0.953977684,-1,0.5,-1,6.70E-290,4831,1.41E-258,5063,3.36E-94,14903,0.5,-1,6.90E-212,6418,0.5,-1
"133",0,1.2e-322,2363,1.2e-322,798,0.5,-1,0.5,-1,0.003789244,-1,0.928594273,-1,0.5,-1,1.09E-290,4129,3.36E-259,4702,2.56E-94,14330,0.5,-1,5.92E-212,6399,0.5,-1
"133",0,1.2e-322,2278,1.2e-322,759,0.5,-1,0.5,-1,0.004121464,-1,0.933876927,-1,0.5,-1,2.08E-288,4888,7.71E-255,5485,2.03E-94,14506,0.5,-1,6.66E-212,6389,0.5,-1
"133",0,1.2e-322,2123,1.2e-322,793,0.5,-1,0.5,-1,0.00419636,-1,0.940059498,-1,0.5,-1,6.05E-293,4945,1.50E-255,4810,1.62E-94,14594,0.5,-1,6.93E-212,6399,0.5,-1
"133",0,1.2e-322,2432,1.2e-322,722,0.5,-1,0.5,-1,0.003040605,-1,0.943233399,-1,0.5,-1,6.44E-290,4564,2.97E-261,4901,3.37E-94,14376,0.5,-1,6.32E-212,6390,0.5,-1
"133",0,1.2e-322,2339,1.2e-322,717,0.5,-1,0.5,-1,0.004011619,-1,0.947837709,-1,0.5,-1,6.57E-290,4442,1.95E-259,5023,1.87E-94,14501,0.5,-1,6.22E-212,6403,0.5,-1
"133",0,1.2e-322,2221,1.2e-322,834,0.5,-1,0.5,-1,0.004109112,-1,0.940470651,-1,0.5,-1,1.80E-290,4379,7.39E-257,5317,2.03E-94,14396,0.5,-1,5.98E-212,6386,0.5,-1
"133",0,1.2e-322,2306,1.2e-322,750,0.5,-1,0.5,-1,0.004577995,-1,0.947000731,-1,0.5,-1,4.13E-291,4781,1.13E-255,5537,2.43E-94,14583,0.5,-1,6.07E-212,6401,0.5,-1
"133",0,1.2e-322,2184,1.2e-322,796,0.5,-1,0.5,-1,0.00336392,-1,0.944534714,-1,0.5,-1,2.70E-291,4636,3.87E-260,4878,2.10E-94,14389,0.5,-1,5.57E-212,6384,0.5,-1
